Package,Rate Model,Bank,MSRP,Invoice,Formula,Buying,Default Rebates,Nondefault Rebates,Rate Style,MF 12,RP 12,Live 12,MF 24,RP 24,Live 24,MF 27,RP 27,Live 27,MF 30,RP 30,Live 30,MF 33,RP 33,Live 33,MF 36,RP 36,Live 36,MF 39,RP 39,Live 39,MF 42,RP 42,Live 42,MF 48,RP 48,Live 48,Package Id,Bank Id
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","143900.00","134527.00","0.9348644892286","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76474","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","147800.00","138154.00","0.9347361299052","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76475","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","149250.00","140295.00","0.9400000000000","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76477","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","150165.00","140353.00","0.9346585422701","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76479","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","152205.00","142250.00","0.9345947899214","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76480","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","155445.00","145263.00","0.9344977323168","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76482","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","157765.00","147421.00","0.9344341267074","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76484","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","158675.00","148267.00","0.9344068063652","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76485","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","159665.00","149188.00","0.9343813609745","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76486","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","160520.00","149983.00","0.9343570894592","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76487","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","164250.00","153452.00","0.9342587519025","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76488","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","165045.00","154191.00","0.9342361174225","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76489","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","167565.00","156535.00","0.9341747978396","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76490","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","168650.00","157544.00","0.9341476430477","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76492","2"
"2025 Mercedes AMG GT55 Coupe Coupe","AMG GT55 Coupe","Mercedes Benz Financial","154105.00","144017.00","0.9345381395801","0.00","","","AMGGT55 4dr Sdn GT55 4MATIC","","","","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","49.00","True","76493","2"
"2025 Mercedes AMG GT63 Coupe 4MATIC Coupe","AMG GT63 Coupe 4MATIC","Mercedes Benz Financial","191100.00","178423.00","0.9336630036630","0.00","","","AMGGT63C4 2dr Cpe 63","","","","0.00335","56.00","True","0.00335","55.00","True","0.00335","54.00","True","0.00335","53.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","51.00","True","0.00335","47.00","True","78813","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","49915.00","47120.00","0.9440048081738","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68052","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","48735.00","46023.00","0.9443521083410","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68055","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","49185.00","46442.00","0.9442309647250","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68056","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","50375.00","47548.00","0.9438808933002","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68057","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","65885.00","61973.00","0.9406238142217","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68058","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","63160.00","59438.00","0.9410702976567","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68059","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","64075.00","60289.00","0.9409129925868","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68060","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","57645.00","54309.00","0.9421285454072","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68061","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","62415.00","58745.00","0.9412000320435","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68062","2"
"2024 Mercedes C300 Sedan Sedan","C300 Sedan","Mercedes Benz Financial","61815.00","58187.00","0.9413087438324","0.00","","","C300W 4dr Sdn C300","","","","0.00154","68.00","True","0.00154","65.00","True","0.00154","62.00","True","0.00154","59.00","True","0.00154","57.00","True","0.00154","54.00","True","0.00154","52.00","True","0.00154","49.00","True","68063","2"
"2025 Mercedes C300 Sedan RWD Sedan","C300 Sedan RWD","Mercedes Benz Financial","50085.00","47279.00","0.9439752420884","0.00","","","C300W 4dr Sdn C300","","","","0.00183","68.00","True","0.00183","65.00","True","0.00183","63.00","True","0.00183","61.00","True","0.00183","59.00","True","0.00183","56.00","True","0.00183","54.00","True","0.00183","50.00","True","75477","2"
"2024 Mercedes C300 4Matic Sedan Sedan","C300 4Matic Sedan","Mercedes Benz Financial","50295.00","47474.00","0.9439109255393","0.00","","","C300W4 4dr Sdn C300 4MATIC","","","","0.00155","66.00","True","0.00155","63.00","True","0.00155","61.00","True","0.00155","59.00","True","0.00155","57.00","True","0.00155","54.00","True","0.00155","51.00","True","0.00155","48.00","True","64675","2"
"2024 Mercedes C300 4Matic Sedan Sedan","C300 4Matic Sedan","Mercedes Benz Financial","64990.00","61140.00","0.9407601169410","0.00","","","C300W4 4dr Sdn C300 4MATIC","","","","0.00155","66.00","True","0.00155","63.00","True","0.00155","61.00","True","0.00155","59.00","True","0.00155","57.00","True","0.00155","54.00","True","0.00155","51.00","True","0.00155","48.00","True","64676","2"
"2024 Mercedes C300 4Matic Sedan Sedan","C300 4Matic Sedan","Mercedes Benz Financial","63715.00","59954.00","0.9409715137722","0.00","","","C300W4 4dr Sdn C300 4MATIC","","","","0.00155","66.00","True","0.00155","63.00","True","0.00155","61.00","True","0.00155","59.00","True","0.00155","57.00","True","0.00155","54.00","True","0.00155","51.00","True","0.00155","48.00","True","64677","2"
"2024 Mercedes C300 4Matic Sedan Sedan","C300 4Matic Sedan","Mercedes Benz Financial","62585.00","58904.00","0.9411839897739","0.00","","","C300W4 4dr Sdn C300 4MATIC","","","","0.00155","66.00","True","0.00155","63.00","True","0.00155","61.00","True","0.00155","59.00","True","0.00155","57.00","True","0.00155","54.00","True","0.00155","51.00","True","0.00155","48.00","True","64678","2"
