Package,Rate Model,Bank,MSRP,Invoice,Formula,Buying,Default Rebates,Nondefault Rebates,Rate Style,MF 12,RP 12,Live 12,MF 24,RP 24,Live 24,MF 27,RP 27,Live 27,MF 30,RP 30,Live 30,MF 33,RP 33,Live 33,MF 36,RP 36,Live 36,MF 39,RP 39,Live 39,MF 42,RP 42,Live 42,MF 48,RP 48,Live 48,Package Id,Bank Id
2025 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),48650,46379,0.95331963,-1000,,,TC2H5SKNW 4dr Wgn Tech AWD,,,,0.00204,62,TRUE,0.00204,61,TRUE,0.00204,59,TRUE,0.00204,57,TRUE,0.00204,55,TRUE,0.00204,53,TRUE,0.00204,51,TRUE,0.00204,47,TRUE,76832,3
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),50895,48418,0.951331172,-1800,,,TC2H6RKNW 4dr Wgn A-Spec AWD,,,,0.0038,56,TRUE,0.0038,55,TRUE,0.0038,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.0028,47,TRUE,0.00295,45,TRUE,0.00295,41,TRUE,65528,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,50895,48418,0.951331172,-1800,,,TC2H6RKNW 4dr Wgn A-Spec AWD,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,65528,48
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),51495,48972,0.951004952,-1800,,,TC2H6RKNW 4dr Wgn A-Spec AWD,,,,0.0038,56,TRUE,0.0038,55,TRUE,0.0038,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.0028,47,TRUE,0.00295,45,TRUE,0.00295,41,TRUE,65533,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,51495,48972,0.951004952,-1800,,,TC2H6RKNW 4dr Wgn A-Spec AWD,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,65533,48
2025 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),51650,49135,0.951306873,-1000,,,TC2H6SKNW 4dr Wgn A-Spec AWD,,,,0.00204,61,TRUE,0.00204,60,TRUE,0.00204,58,TRUE,0.00204,56,TRUE,0.00204,54,TRUE,0.00204,52,TRUE,0.00204,50,TRUE,0.00204,46,TRUE,76833,3
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),53045,50349,0.949175229,-1800,,,TC2H7RKNW 4dr Wgn Advance AWD,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,65535,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,53045,50349,0.949175229,-1800,,,TC2H7RKNW 4dr Wgn Advance AWD,,,,,,,,,,,,,,,,0.0032,68,FALSE,0.0032,68,FALSE,,,,,,,65535,48
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),53645,50903,0.948886196,-1800,,,TC2H7RKNW 4dr Wgn Advance AWD,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,65536,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,53645,50903,0.948886196,-1800,,,TC2H7RKNW 4dr Wgn Advance AWD,,,,,,,,,,,,,,,,0.0032,68,FALSE,0.0032,68,FALSE,,,,,,,65536,48
2025 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),53800,51072,0.94929368,-1000,,,TC2H7SKNW 4dr Wgn Advance AWD,,,,0.00204,60,TRUE,0.00204,59,TRUE,0.00204,57,TRUE,0.00204,55,TRUE,0.00204,53,TRUE,0.00204,51,TRUE,0.00204,49,TRUE,0.00204,45,TRUE,76834,3
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),55045,52240,0.949041693,-1800,,,TC2H8RKNW 4dr Wgn A-Spec Advance AWD,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,65530,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,55045,52240,0.949041693,-1800,,,TC2H8RKNW 4dr Wgn A-Spec Advance AWD,,,,,,,,,,,,,,,,0.0032,68,FALSE,0.0032,68,FALSE,,,,,,,65530,48
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),55645,52795,0.94878246,-1800,,,TC2H8RKNW 4dr Wgn A-Spec Advance AWD,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,65534,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,55645,52795,0.94878246,-1800,,,TC2H8RKNW 4dr Wgn A-Spec Advance AWD,,,,,,,,,,,,,,,,0.0032,68,FALSE,0.0032,68,FALSE,,,,,,,65534,48
2025 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),56400,53540,0.94929078,-1000,,,TC2H8SKNW 4dr Wgn A-Spec Advance AWD,,,,0.00204,60,TRUE,0.00204,59,TRUE,0.00204,57,TRUE,0.00204,55,TRUE,0.00204,53,TRUE,0.00204,51,TRUE,0.00204,49,TRUE,0.00204,45,TRUE,78778,3
2024 Acura TLX FWD Sedan,TLX FWD,American Honda Finance (Acura),46795,44628,0.953691634,400,,,UB5F4RGNW 4dr Sdn Tech,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,67492,3
2025 Acura TLX FWD Sedan,TLX FWD,American Honda Finance (Acura),47195,44988,0.953236572,0,,,UB5F4SGNW 4dr Sdn Tech,,,,0.00191,59,TRUE,0.00191,58,TRUE,0.00191,56,TRUE,0.00191,54,TRUE,0.00191,52,TRUE,0.00191,50,TRUE,0.00191,48,TRUE,0.00191,44,TRUE,78348,3
2024 Acura TLX AWD Sedan,TLX AWD,American Honda Finance (Acura),51795,49117,0.948296168,400,,,UB6F5RGNW 4dr Sdn A-Spec AWD,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,67489,3
2025 Acura TLX AWD Sedan,TLX AWD,American Honda Finance (Acura),52195,49647,0.951183064,0,,,UB6F5SGNW 4dr Sdn A-Spec AWD,,,,0.00191,57,TRUE,0.00191,56,TRUE,0.00191,54,TRUE,0.00191,52,TRUE,0.00191,50,TRUE,0.00191,48,TRUE,0.00191,46,TRUE,0.00191,42,TRUE,78349,3
2024 Acura TLX AWD Sedan,TLX AWD,American Honda Finance (Acura),58795,55796,0.948992261,0,,,UB7F0RGW 4dr Sdn Type S AWD,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,67491,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),75750,71140,0.939141914,0,,,YD8H8RKNW 4dr Wgn Type-S Advance,,,,0.0038,53,TRUE,0.0038,52,TRUE,0.0038,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.0028,44,TRUE,0.00295,42,TRUE,0.00295,38,TRUE,65538,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,75750,71140,0.939141914,0,,,YD8H8RKNW 4dr Wgn Type-S Advance,,,,,,,,,,,,,,,,0.0032,59,FALSE,0.0032,59,FALSE,,,,,,,65538,48
2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),76900,72209,0.9389987,0,,,YD8H8SKNW 4dr Wgn Type-S Advance,,,,0.00174,58,TRUE,0.00174,57,TRUE,0.00174,55,TRUE,0.00174,53,TRUE,0.00174,51,TRUE,0.00174,49,TRUE,0.00174,47,TRUE,0.00174,43,TRUE,72037,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),70400,66122,0.939232955,0,,,YD8H9RKNW 4dr Wgn Type-S,,,,0.0038,53,TRUE,0.0038,52,TRUE,0.0038,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.0028,44,TRUE,0.00295,42,TRUE,0.00295,38,TRUE,65537,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,70400,66122,0.939232955,0,,,YD8H9RKNW 4dr Wgn Type-S,,,,,,,,,,,,,,,,0.0032,59,FALSE,0.0032,59,FALSE,,,,,,,65537,48
2025 Acura MDX 2WD 7 Passenger,MDX 2WD,American Honda Finance (Acura),58250,54830,0.941287554,0,,,YD9H4SKNW 4dr Wgn Tech,,,,0.00174,61,TRUE,0.00174,60,TRUE,0.00174,58,TRUE,0.00174,56,TRUE,0.00174,54,TRUE,0.00174,52,TRUE,0.00174,50,TRUE,0.00174,46,TRUE,72035,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),62500,58833,0.941328,0,,,YE1H0RKNW 4dr Wgn Tech A-Spec,,,,0.0038,56,TRUE,0.0038,55,TRUE,0.0038,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.0028,47,TRUE,0.00295,45,TRUE,0.00295,41,TRUE,60825,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,62500,58833,0.941328,0,,,YE1H0RKNW 4dr Wgn Tech A-Spec,,,,,,,,,,,,,,,,0.0032,70,FALSE,0.0032,70,FALSE,,,,,,,60825,48
2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),63450,59726,0.941308117,0,,,YE1H0SKNW 4dr Wgn Tech A-Spec,,,,0.00174,61,TRUE,0.00174,60,TRUE,0.00174,58,TRUE,0.00174,56,TRUE,0.00174,54,TRUE,0.00174,52,TRUE,0.00174,50,TRUE,0.00174,46,TRUE,70561,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),53845,52957,0.983508218,0,,,YE1H3RJNW 4dr Wgn,,,,0.0038,56,TRUE,0.0038,55,TRUE,0.0038,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.0028,47,TRUE,0.00295,45,TRUE,0.00295,41,TRUE,60823,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,53845,52957,0.983508218,0,,,YE1H3RJNW 4dr Wgn,,,,,,,,,,,,,,,,0.0032,70,FALSE,0.0032,70,FALSE,,,,,,,60823,48
2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),54300,52958,0.975285451,0,,,YE1H3SJNW 4dr Wgn,,,,0.00174,63,TRUE,0.00174,62,TRUE,0.00174,60,TRUE,0.00174,58,TRUE,0.00174,56,TRUE,0.00174,54,TRUE,0.00174,52,TRUE,0.00174,48,TRUE,70559,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),59000,55656,0.943322034,0,,,YE1H4RKNW 4dr Wgn Tech,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,60824,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,59000,55656,0.943322034,0,,,YE1H4RKNW 4dr Wgn Tech,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,60824,48
2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),60450,57023,0.943308519,0,,,YE1H4SKNW 4dr Wgn Tech,,,,0.00174,61,TRUE,0.00174,60,TRUE,0.00174,58,TRUE,0.00174,56,TRUE,0.00174,54,TRUE,0.00174,52,TRUE,0.00174,50,TRUE,0.00174,46,TRUE,70560,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),66050,62042,0.939318698,0,,,YE1H8RKNW 4dr Wgn Advance,,,,0.0038,55,TRUE,0.0038,54,TRUE,0.0038,52,TRUE,0.0028,50,TRUE,0.0028,48,TRUE,0.0028,46,TRUE,0.00295,44,TRUE,0.00295,40,TRUE,60826,3
2024 Acura MDX AWD 7 Passenger,MDX AWD,Cal Automotive,66050,62042,0.939318698,0,,,YE1H8RKNW 4dr Wgn Advance,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,60826,48
2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),67950,63823,0.939264165,0,,,YE1H8SKNW 4dr Wgn Advance,,,,0.00174,58,TRUE,0.00174,57,TRUE,0.00174,55,TRUE,0.00174,53,TRUE,0.00174,51,TRUE,0.00174,49,TRUE,0.00174,47,TRUE,0.00174,43,TRUE,70562,3
2025 Acura MDX AWD 7 Passenger,MDX AWD,American Honda Finance (Acura),69950,65700,0.939242316,0,,,YE1H9SKNW 4dr Wgn A-Spec Advance,,,,0.00174,58,TRUE,0.00174,57,TRUE,0.00174,55,TRUE,0.00174,53,TRUE,0.00174,51,TRUE,0.00174,49,TRUE,0.00174,47,TRUE,0.00174,43,TRUE,75286,3
